freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,C24_C25,W032,FR	42660 	47680 	53450 	54907 	52846 	49136 	60465 	57480 	31438 
A,T,HAZ_NHAZ,C24_C25,W032,HR	1135 	660 	2617 	1817 	342 	537 	166 	144 	148 
A,T,HAZ_NHAZ,C24_C25,W032,HU	10946 	8924 	8852 	10276 	6473 	7257 	9158 	10853 	16316 
A,T,HAZ_NHAZ,C24_C25,W032,IE	1221 	95 	1063 	18286 	8913 	3758 	1728 	2266 	189 
A,T,HAZ_NHAZ,C24_C25,W032,IS	0 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W032,IT	124213 	177339 	87108 	99950 	304690 	325969 	445368 	371835 	386704 
A,T,HAZ_NHAZ,C24_C25,W032,LI	: 	: 	14 	0 	0 	961 	843 	990 	: 
A,T,HAZ_NHAZ,C24_C25,W032,LT	2 	11 	37 	0 	1 	27 	27 	27 	35 
A,T,HAZ_NHAZ,C24_C25,W032,LU	222 	1632 	18316 	3031 	226 	234 	948 	2599 	2692 
A,T,HAZ_NHAZ,C24_C25,W032,LV	1827 	12923 	52 	40 	236 	227 	685 	510 	209 
A,T,HAZ_NHAZ,C24_C25,W032,ME	: 	: 	: 	: 	0 	812 	0 	526 	543 
A,T,HAZ_NHAZ,C24_C25,W032,MK	: 	: 	0 	0 	0 	942921 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W032,MT	0 	0 	0 	0 	0 	2 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W032,NL	17616 	13395 	21310 	23375 	16911 	14985 	20342 	16126 	22004 
A,T,HAZ_NHAZ,C24_C25,W032,NO	9627 	11791 	12077 	1000 	2692 	1207 	38479 	378 	605 
A,T,HAZ_NHAZ,C24_C25,W032,PL	79071 	190896 	63610 	73424 	19757 	25677 	28765 	25373 	19828 
A,T,HAZ_NHAZ,C24_C25,W032,PT	14914 	23305 	17839 	16455 	12727 	15151 	11998 	19294 b	18110 
A,T,HAZ_NHAZ,C24_C25,W032,RO	6176 	0 	27745 	11642 	21663 	18917 	35877 	14648 	20185 
A,T,HAZ_NHAZ,C24_C25,W032,RS	: 	: 	: 	564 	314 	135 	196 	375 	371 
A,T,HAZ_NHAZ,C24_C25,W032,SE	28734 	21137 	20353 	18175 	25221 	39805 	41299 	13219 	8521 
A,T,HAZ_NHAZ,C24_C25,W032,SI	3811 	4179 	1794 	3523 	4325 	5048 	4873 	5591 	4195 
A,T,HAZ_NHAZ,C24_C25,W032,SK	19100 	18712 	23375 	54890 	35843 	10802 	44114 	173234 	95054 
A,T,HAZ_NHAZ,C24_C25,W032,TR	14640 	0 	9550 	10160 	4176 	5303 	8307 	13381 	17402 
A,T,HAZ_NHAZ,C24_C25,W032,UK	15330 	32737 	36429 	29427 	30991 	30234 	26064 	28718 	: 
A,T,HAZ_NHAZ,C24_C25,W032,XK	: 	: 	: 	: 	3950 	4 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,AT	: 	: 	: 	686 	0 	355 	: c	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,BA	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,BE	: 	: 	: 	2086 	1613 	1168 	418 	464 	11080 
A,T,HAZ_NHAZ,C24_C25,W033,BG	: 	: 	: 	748 	3716 	761 	47 	208 	8466 
A,T,HAZ_NHAZ,C24_C25,W033,CY	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,CZ	: 	: 	: 	7950 	7905 	8362 	13185 	13511 b	24958 
A,T,HAZ_NHAZ,C24_C25,W033,DE	: 	: 	: 	31393 	38432 	29836 	24975 	22065 	7243 
A,T,HAZ_NHAZ,C24_C25,W033,DK	: 	: 	: 	84 	74 	13 	15 	0 	12 
A,T,HAZ_NHAZ,C24_C25,W033,EE	: 	: 	: 	0 	1 	1 	0 	0 	1 
A,T,HAZ_NHAZ,C24_C25,W033,EL	: 	: 	: 	1156 	1392 	2781 	2927 	3886 	3746 
A,T,HAZ_NHAZ,C24_C25,W033,ES	: 	: 	: 	11338 	6905 	5891 	9530 	7225 	6088 
A,T,HAZ_NHAZ,C24_C25,W033,FI	: 	: 	: 	44815 	41422 	38846 	33109 	64557 	56896 
A,T,HAZ_NHAZ,C24_C25,W033,FR	: 	: 	: 	11805 	13449 	13771 	14981 	18769 	18274 
A,T,HAZ_NHAZ,C24_C25,W033,HR	: 	: 	: 	17 	75 	43 	1699 	2676 	795 
A,T,HAZ_NHAZ,C24_C25,W033,HU	: 	: 	: 	175 	127 	193 	240 	662 	91 
A,T,HAZ_NHAZ,C24_C25,W033,IE	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,IT	: 	: 	: 	6826 	70675 	76391 	86292 	88529 	61236 
A,T,HAZ_NHAZ,C24_C25,W033,LI	: 	: 	: 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C24_C25,W033,LT	: 	: 	: 	59 	49 	23 	46 	41 	74 
A,T,HAZ_NHAZ,C24_C25,W033,LU	: 	: 	: 	41 	21 	0 	25 	113 	90 
A,T,HAZ_NHAZ,C24_C25,W033,LV	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,ME	: 	: 	: 	: 	0 	0 	0 	15 	17 
A,T,HAZ_NHAZ,C24_C25,W033,MK	: 	: 	: 	0 	0 	4 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,MT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,NL	: 	: 	: 	608 	610 	317 	502 	1627 	2145 
A,T,HAZ_NHAZ,C24_C25,W033,NO	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W033,PL	: 	: 	: 	2069 	6386 	17397 	17492 	17067 	403 
A,T,HAZ_NHAZ,C24_C25,W033,PT	: 	: 	: 	5275 	1010 	4933 	3657 	4430 b	2619 
A,T,HAZ_NHAZ,C24_C25,W033,RO	: 	: 	: 	5868 	4983 	421 	3277 	3139 	1973 
A,T,HAZ_NHAZ,C24_C25,W033,RS	: 	: 	: 	26 	8 	143 	172 	150 	81 
A,T,HAZ_NHAZ,C24_C25,W033,SE	: 	: 	: 	0 	3208 	83 	933 	174 	2777 
A,T,HAZ_NHAZ,C24_C25,W033,SI	: 	: 	: 	38 	319 	3 	747 	629 	492 
A,T,HAZ_NHAZ,C24_C25,W033,SK	: 	: 	: 	9192 	10237 	9771 	5853 	5460 	2222 
A,T,HAZ_NHAZ,C24_C25,W033,TR	: 	: 	: 	0 	0 	0 	: c	: c	: c
A,T,HAZ_NHAZ,C24_C25,W033,UK	: 	: 	: 	0 	3 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C24_C25,W033,XK	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,AT	0 	0 	1 	1 	0 	0 	0 	0 	1 
A,T,HAZ_NHAZ,C24_C25,W05,BA	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,BE	19 	0 	39 	5 	6 	2 	3 	1 	2 
A,T,HAZ_NHAZ,C24_C25,W05,BG	0 	0 	0 	0 	0 	4 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,CZ	0 	0 	0 	0 	0 	0 	0 	0 b	0 
A,T,HAZ_NHAZ,C24_C25,W05,DE	0 	0 	740 	0 	1 	0 	3 	2 	2 
A,T,HAZ_NHAZ,C24_C25,W05,DK	3 	6 	4 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,EL	203 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,ES	2621 	1640 	14 	162 	10 	34 	33 	2 	10 
A,T,HAZ_NHAZ,C24_C25,W05,FI	0 	0 	1 	1 	0 	0 	3 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,FR	0 	10 	10 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,HU	0 	0 	0 	0 	0 	0 	0 	0 	1 
A,T,HAZ_NHAZ,C24_C25,W05,IE	40 	0 	1 	12 	0 	0 	3 	2 	0 
A,T,HAZ_NHAZ,C24_C25,W05,IS	0 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,IT	10 	8 	6 	133 	34 	30 	28 	15 	29 
A,T,HAZ_NHAZ,C24_C25,W05,LI	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C24_C25,W05,LT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,LU	0 	0 	0 	2 	1 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,LV	0 	12 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,NL	67 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,PL	0 	0 	21 	2 	9 	2 	1 	1 	1 
A,T,HAZ_NHAZ,C24_C25,W05,PT	1 	3 	1 	2 	2 	2 	3 	3 b	2 
A,T,HAZ_NHAZ,C24_C25,W05,RO	0 	0 	1 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,RS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W05,SI	0 	0 	0 	0 	0 	0 	2 	1 	0 
A,T,HAZ_NHAZ,C24_C25,W05,SK	0 	0 	0 	0 	0 	0 	0 	1 	2 
A,T,HAZ_NHAZ,C24_C25,W05,TR	0 	0 	0 	8 	11 	5 	8 	16 	7 
A,T,HAZ_NHAZ,C24_C25,W05,UK	3 	3 	146 	119 	57 	42 	77 	138 	: 
A,T,HAZ_NHAZ,C24_C25,W05,XK	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W06,AT	527764 	307270 	229653 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,BE	589412 	462674 	349747 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,BG	52633 	81960 	107723 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,CY	8645 	5062 	5497 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,CZ	758408 	751412 	671267 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,DE	657653 	678830 	543474 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,DK	386733 	410468 	77625 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,EE	272175 	44897 	44905 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,EL	171554 	126245 	192552 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,ES	2482064 	1204207 	1325279 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,FI	118795 	137765 	101667 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,FR	1298000 	2090290 	2123760 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,HR	24154 	523223 	45973 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,HU	339635 	268026 	260359 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,IE	12624 	6222 	10910 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,IS	0 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,IT	3137516 	5013251 	4090981 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,LI	: 	: 	4692 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,LT	3417 	12483 	15567 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,LU	75534 	73841 	59200 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,LV	5205 	3936 	4015 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,MK	: 	: 	30665 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,MT	996 	1800 	779 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,NL	359453 	431848 	391616 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,NO	46557 	85396 	87462 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,PL	876620 	1048644 	1094362 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,PT	167241 	547583 	173142 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,RO	1218140 	845034 	536345 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,SE	1880718 	614305 	675221 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,SI	60188 	108177 	155865 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,SK	119030 	162964 	206655 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,TR	1337782 	0 	680377 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W06,UK	370624 	1263949 	1290528 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,C24_C25,W061,AT	: 	: 	: 	205538 	829980 	1360999 	1408783 	1435712 	1282732 
A,T,HAZ_NHAZ,C24_C25,W061,BA	: 	: 	: 	: 	28989 	25257 	145424 	67520 	90991 
A,T,HAZ_NHAZ,C24_C25,W061,BE	: 	: 	: 	717965 	532844 	420350 	408109 	363818 	134661 
A,T,HAZ_NHAZ,C24_C25,W061,BG	: 	: 	: 	50743 	138500 	64028 	183972 	119602 	135901 
A,T,HAZ_NHAZ,C24_C25,W061,CY	: 	: 	: 	1858 	1607 	1776 	1519 	1697 	3018 
A,T,HAZ_NHAZ,C24_C25,W061,CZ	: 	: 	: 	521363 	603056 	535626 	593890 	745551 b	640219 
A,T,HAZ_NHAZ,C24_C25,W061,DE	: 	: 	: 	913397 	939914 	1272606 	1163722 	1219786 	1226655 
A,T,HAZ_NHAZ,C24_C25,W061,DK	: 	: 	: 	92715 	14389 	16041 	31553 	62291 	54156 
A,T,HAZ_NHAZ,C24_C25,W061,EE	: 	: 	: 	37280 	52017 	30700 	31808 	34335 	30190 
A,T,HAZ_NHAZ,C24_C25,W061,EL	: 	: 	: 	113736 	50424 	35944 	354523 	216332 	137545 
A,T,HAZ_NHAZ,C24_C25,W061,ES	: 	: 	: 	747355 	856239 	721465 	595842 	723628 	851311 
A,T,HAZ_NHAZ,C24_C25,W061,FI	: 	: 	: 	52191 	46599 	102642 	101945 	109828 	42837 
A,T,HAZ_NHAZ,C24_C25,W061,FR	: 	: 	: 	1469124 	1632356 	1611253 	1567839 	1606697 	1193219 
A,T,HAZ_NHAZ,C24_C25,W061,HR	: 	: 	: 	22982 	23832 	28448 	34626 	39640 	37448 
A,T,HAZ_NHAZ,C24_C25,W061,HU	: 	: 	: 	231100 	205860 	246665 	192997 	204487 	208585 
A,T,HAZ_NHAZ,C24_C25,W061,IE	: 	: 	: 	12460 	17832 	12204 	21326 	11382 	33612 
A,T,HAZ_NHAZ,C24_C25,W061,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W061,IT	: 	: 	: 	2480724 	2363965 	2246005 	2371700 	2485709 	2103651 
A,T,HAZ_NHAZ,C24_C25,W061,LI	: 	: 	: 	3461 	2240 	2481 	2344 	0 	: 
A,T,HAZ_NHAZ,C24_C25,W061,LT	: 	: 	: 	11699 	11737 	12154 	18116 	37366 	39014 
A,T,HAZ_NHAZ,C24_C25,W061,LU	: 	: 	: 	30735 	83754 	73414 	81795 	73373 	109355 
A,T,HAZ_NHAZ,C24_C25,W061,LV	: 	: 	: 	1459 	4490 	4182 	4057 	2513 	4729 
A,T,HAZ_NHAZ,C24_C25,W061,ME	: 	: 	: 	: 	458 	174 	43 	88 	9 
A,T,HAZ_NHAZ,C24_C25,W061,MK	: 	: 	: 	18109 	10483 	125 	0 	38142 	37223 
A,T,HAZ_NHAZ,C24_C25,W061,MT	: 	: 	: 	78 	284 	565 	424 	246 	0 
A,T,HAZ_NHAZ,C24_C25,W061,NL	: 	: 	: 	65261 	106539 	117320 	83009 	132808 	198960 
A,T,HAZ_NHAZ,C24_C25,W061,NO	: 	: 	: 	0 	6667 e	12650 e	9423 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W061,PL	: 	: 	: 	953528 	1372375 	1521747 	1305789 	1826289 	2135895 
A,T,HAZ_NHAZ,C24_C25,W061,PT	: 	: 	: 	132818 	148237 	176169 	183173 	201433 b	201335 
A,T,HAZ_NHAZ,C24_C25,W061,RO	: 	: 	: 	636971 	646035 	630753 	613863 	668274 	553712 
A,T,HAZ_NHAZ,C24_C25,W061,RS	: 	: 	: 	36172 	16506 	20400 	33506 	56525 	50123 
A,T,HAZ_NHAZ,C24_C25,W061,SE	: 	: 	: 	0 	325233 	280312 	213271 	168257 	160580 
A,T,HAZ_NHAZ,C24_C25,W061,SI	: 	: 	: 	70194 	85331 	131129 	112286 	120143 	109719 
A,T,HAZ_NHAZ,C24_C25,W061,SK	: 	: 	: 	163342 	142267 	181933 	567184 	600026 	272542 
A,T,HAZ_NHAZ,C24_C25,W061,TR	: 	: 	: 	476101 	425585 	502439 	803645 	1012765 	1026509 
A,T,HAZ_NHAZ,C24_C25,W061,UK	: 	: 	: 	187004 	248848 	492736 	241480 	312637 	: 
A,T,HAZ_NHAZ,C24_C25,W061,XK	: 	: 	: 	: 	515 	214 	40 	2658 	3254 
A,T,HAZ_NHAZ,C24_C25,W062,AT	: 	: 	: 	77949 	106885 	94187 	113788 	221939 	215590 
A,T,HAZ_NHAZ,C24_C25,W062,BA	: 	: 	: 	: 	9758 	12730 	5600 	7083 	8901 
A,T,HAZ_NHAZ,C24_C25,W062,BE	: 	: 	: 	83452 	159018 	321695 	320631 	197679 	214361 
A,T,HAZ_NHAZ,C24_C25,W062,BG	: 	: 	: 	7991 	8477 	32428 	15676 	18708 	31172 
A,T,HAZ_NHAZ,C24_C25,W062,CY	: 	: 	: 	1735 	1584 	1323 	1453 	1540 	1896 
A,T,HAZ_NHAZ,C24_C25,W062,CZ	: 	: 	: 	15894 	31048 	37183 	43838 	60497 b	55523 
A,T,HAZ_NHAZ,C24_C25,W062,DE	: 	: 	: 	89062 	109157 	115403 	132478 	176684 	116719 
A,T,HAZ_NHAZ,C24_C25,W062,DK	: 	: 	: 	2218 	322 	1148 	2546 	2780 	2785 
A,T,HAZ_NHAZ,C24_C25,W062,EE	: 	: 	: 	1412 	855 	1593 	1802 	1210 	1204 
A,T,HAZ_NHAZ,C24_C25,W062,EL	: 	: 	: 	49791 	33390 	44932 	910 	114112 	108346 
A,T,HAZ_NHAZ,C24_C25,W062,ES	: 	: 	: 	48424 	69270 	87763 	46931 	76215 	85913 
A,T,HAZ_NHAZ,C24_C25,W062,FI	: 	: 	: 	11377 	9952 	11986 	13931 	10065 	3732 
A,T,HAZ_NHAZ,C24_C25,W062,FR	: 	: 	: 	219798 	166905 	164747 	193373 	198166 	322645 
A,T,HAZ_NHAZ,C24_C25,W062,HR	: 	: 	: 	806 	3431 	4598 	4575 	12023 	18361 
A,T,HAZ_NHAZ,C24_C25,W062,HU	: 	: 	: 	45552 	53896 	40612 	62764 	86635 	29875 
A,T,HAZ_NHAZ,C24_C25,W062,IE	: 	: 	: 	5511 	9687 	5762 	8744 	11002 	3325 
A,T,HAZ_NHAZ,C24_C25,W062,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W062,IT	: 	: 	: 	180961 	154256 	154233 	234434 	240315 	250577 
A,T,HAZ_NHAZ,C24_C25,W062,LI	: 	: 	: 	0 	6 	0 	0 	0 	: 
A,T,HAZ_NHAZ,C24_C25,W062,LT	: 	: 	: 	415 	294 	371 	642 	998 	646 
A,T,HAZ_NHAZ,C24_C25,W062,LU	: 	: 	: 	5705 	1513 	2913 	4692 	3544 	3435 
A,T,HAZ_NHAZ,C24_C25,W062,LV	: 	: 	: 	14 	5944 	1158 	375 	429 	771 
A,T,HAZ_NHAZ,C24_C25,W062,ME	: 	: 	: 	: 	20 	16 	16 	15 	24 
A,T,HAZ_NHAZ,C24_C25,W062,MK	: 	: 	: 	482 	564 	41 	0 	213991 	3871 
A,T,HAZ_NHAZ,C24_C25,W062,MT	: 	: 	: 	67 	277 	494 	408 	542 	1060 
A,T,HAZ_NHAZ,C24_C25,W062,NL	: 	: 	: 	16829 	10395 	22140 	21043 	29712 	24062 
A,T,HAZ_NHAZ,C24_C25,W062,NO	: 	: 	: 	0 	408 e	774 e	21190 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W062,PL	: 	: 	: 	76195 	92103 	141945 	146850 	156537 	200062 
A,T,HAZ_NHAZ,C24_C25,W062,PT	: 	: 	: 	38915 	23335 	17044 	22403 	31269 b	30057 
A,T,HAZ_NHAZ,C24_C25,W062,RO	: 	: 	: 	34137 	28452 	19547 	22174 	33738 	31882 
A,T,HAZ_NHAZ,C24_C25,W062,RS	: 	: 	: 	1457 	1926 	3097 	5457 	11561 	6664 
A,T,HAZ_NHAZ,C24_C25,W062,SE	: 	: 	: 	0 	21867 	22102 	: c	30458 	39496 
A,T,HAZ_NHAZ,C24_C25,W062,SI	: 	: 	: 	4516 	62954 	12438 	31904 	10338 	9610 
A,T,HAZ_NHAZ,C24_C25,W062,SK	: 	: 	: 	23010 	13776 	13530 	19137 	18482 	22044 
A,T,HAZ_NHAZ,C24_C25,W062,TR	: 	: 	: 	71637 	71502 	64268 	76866 	86976 	91192 
A,T,HAZ_NHAZ,C24_C25,W062,UK	: 	: 	: 	26773 	39009 	48066 	61738 	91837 	: 
A,T,HAZ_NHAZ,C24_C25,W062,XK	: 	: 	: 	: 	76 	38 	2533 	1578 	117 
A,T,HAZ_NHAZ,C24_C25,W063,AT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W063,BA	: 	: 	: 	: 	182 	761 	5165 	1878 	1613 
A,T,HAZ_NHAZ,C24_C25,W063,BE	: 	: 	: 	29011 	65596 	122657 	73202 	101643 	91502 
A,T,HAZ_NHAZ,C24_C25,W063,BG	: 	: 	: 	1984 	2996 	2942 	15785 	3917 	26367 
A,T,HAZ_NHAZ,C24_C25,W063,CY	: 	: 	: 	208 	273 	313 	697 	699 	400 
A,T,HAZ_NHAZ,C24_C25,W063,CZ	: 	: 	: 	3250 	3673 	4124 	3699 	2500 b	1696 
A,T,HAZ_NHAZ,C24_C25,W063,DE	: 	: 	: 	10561 	42456 	66427 	8443 	14392 	3026 
A,T,HAZ_NHAZ,C24_C25,W063,DK	: 	: 	: 	56558 	54450 	57377 	99396 	45250 	27497 
A,T,HAZ_NHAZ,C24_C25,W063,EE	: 	: 	: 	1405 	1454 	598 	816 	672 	769 
A,T,HAZ_NHAZ,C24_C25,W063,EL	: 	: 	: 	55876 	36562 	13743 	85653 	16420 	7775 
A,T,HAZ_NHAZ,C24_C25,W063,ES	: 	: 	: 	207874 	322637 	305479 	388416 	225940 	236009 
A,T,HAZ_NHAZ,C24_C25,W063,FI	: 	: 	: 	22570 	12680 	5210 	9323 	12167 	3813 
A,T,HAZ_NHAZ,C24_C25,W063,FR	: 	: 	: 	168928 	157669 	155631 	147263 	150913 	140821 
A,T,HAZ_NHAZ,C24_C25,W063,HR	: 	: 	: 	201 	308 	243 	322 	86 	52 
A,T,HAZ_NHAZ,C24_C25,W063,HU	: 	: 	: 	5085 	22568 	14910 	6020 	15400 	6260 
A,T,HAZ_NHAZ,C24_C25,W063,IE	: 	: 	: 	14453 	5046 	5714 	10215 	9361 	9881 
A,T,HAZ_NHAZ,C24_C25,W063,IS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W063,IT	: 	: 	: 	43647 	41376 	37788 	36736 	29080 	33226 
A,T,HAZ_NHAZ,C24_C25,W063,LI	: 	: 	: 	0 	6 	28 	4 	0 	: 
A,T,HAZ_NHAZ,C24_C25,W063,LT	: 	: 	: 	2294 	574 	831 	1542 	2214 	2113 
A,T,HAZ_NHAZ,C24_C25,W063,LU	: 	: 	: 	556 	348 	840 	1461 	2669 	1694 
A,T,HAZ_NHAZ,C24_C25,W063,LV	: 	: 	: 	3134 	2588 	6467 	6897 	7050 	10527 
A,T,HAZ_NHAZ,C24_C25,W063,ME	: 	: 	: 	: 	0 	1 	2600 	3073 	4920 
A,T,HAZ_NHAZ,C24_C25,W063,MK	: 	: 	: 	5072 	16 	0 	0 	45526 	229870 
A,T,HAZ_NHAZ,C24_C25,W063,MT	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,C24_C25,W063,NL	: 	: 	: 	207315 	104741 	86028 	142412 	105226 	82091 
A,T,HAZ_NHAZ,C24_C25,W063,NO	: 	: 	: 	61000 	42653 e	80934 e	33290 	45587 	50047 
A,T,HAZ_NHAZ,C24_C25,W063,PL	: 	: 	: 	20992 	8501 	14277 	12207 	7747 	12296 
A,T,HAZ_NHAZ,C24_C25,W063,PT	: 	: 	: 	20159 	27273 	18205 	21214 	25462 b	27961 
A,T,HAZ_NHAZ,C24_C25,W063,RO	: 	: 	: 	19328 	45791 	27655 	29821 	28294 	23219 
A,T,HAZ_NHAZ,C24_C25,W063,RS	: 	: 	: 	719 	1195 	263 	2484 	1211 	10716 
A,T,HAZ_NHAZ,C24_C25,W063,SE	: 	: 	: 	502891 	101872 	75078 	142589 	111108 	119659 
A,T,HAZ_NHAZ,C24_C25,W063,SI	: 	: 	: 	382 	616 	4035 	2968 	923 	721 
A,T,HAZ_NHAZ,C24_C25,W063,SK	: 	: 	: 	5241 	2594 	4087 	3203 	3278 	2187 
A,T,HAZ_NHAZ,C24_C25,W063,TR	: 	: 	: 	62820 	121017 	37835 	52452 	200337 	274253 
