freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,A,TOT_X_MIN,SK	605010 	738385 	783662 	524899 	548000 	570088 	783975 	490697 	556453 
A,T,HAZ_NHAZ,A,TOT_X_MIN,TR	0 	0 	0 	: 	: 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,TOT_X_MIN,UK	719198 	666485 	673737 	464297 	578613 	580920 	546514 	590686 	: 
A,T,HAZ_NHAZ,A,TOT_X_MIN,XK	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,A,W01-05,AT	8153 	12499 	12523 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,BE	77593 	5758 	2043 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,BG	87 	463 	2080 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,CY	12778 	243 	677 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,CZ	5234 	4021 	4386 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,DE	819 	992 	2363 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,DK	191 	78 	92 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,EE	5081 	5599 	5626 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,EL	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,ES	63015 	44101 	38968 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,FI	3000 	14 	228 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,FR	107000 	107000 	112470 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,HR	65 	93 	233 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,HU	44289 	8272 	5860 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,IE	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,IS	3003 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,IT	13934 	37012 	16115 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,LI	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,LT	715 	715 	858 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,LU	30 	30 	3 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,LV	3323 	425 	499 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,MK	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,MT	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,NL	5940 	4410 	3383 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,NO	913 	1144 	1316 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,PL	19029 	19029 	2593 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,PT	92 	19396 	781 	: 	: 	: 	: 	: 	: 
